Charge Number,E,Uninformed,Informed,JENDL-5
26,0.5,,,1.14E-08
27,0.5,,,9.32E-08
28,0.5,,,1.74E-06
29,0.5,,,2.42E-05
30,0.5,,,3.48E-04
31,0.5,,,0.00126
32,0.5,,,0.00576
33,0.5,,,0.01205
34,0.5,,,0.03986
35,0.5,,,0.0651
36,0.5,,,0.12996
37,0.5,,,0.1325
38,0.5,,,0.20285
39,0.5,,,0.13151
40,0.5,,,0.16202
41,0.5,,,0.0718
42,0.5,,,0.0404
43,0.5,,,0.00232
44,0.5,,,0.00101
45,0.5,,,6.93E-04
46,0.5,,,9.13E-04
47,0.5,,,6.99E-04
48,0.5,,,0.00113
49,0.5,,,0.00442
50,0.5,,,0.0515
51,0.5,,,0.06859
52,0.5,,,0.15453
53,0.5,,,0.13706
54,0.5,,,0.17189
55,0.5,,,0.13653
56,0.5,,,0.15087
57,0.5,,,0.07262
58,0.5,,,0.03653
59,0.5,,,0.00905
60,0.5,,,0.00354
61,0.5,,,5.18E-04
62,0.5,,,1.30E-04
63,0.5,,,1.09E-05
64,0.5,,,5.49E-07
65,0.5,,,1.90E-08
66,0.5,,,1.94E-09
67,0.5,,,1.30E-10
68,0.5,,,3.58E-12
69,0.5,,,8.35E-15
70,0.5,,,2.16E-18
71,0.5,,,0
23,14,,,3.34E-13
24,14,,,9.63E-10
25,14,,,1.38E-07
26,14,,,3.02E-06
27,14,,,1.69E-05
28,14,,,7.04E-05
29,14,,,2.53E-04
30,14,,,8.06E-04
31,14,,,0.00247
32,14,,,0.00697
33,14,,,0.01978
34,14,,,0.03786
35,14,,,0.06288
36,14,,,0.09801
37,14,,,0.12035
38,14,,,0.13028
39,14,,,0.13035
40,14,,,0.11692
41,14,,,0.09566
42,14,,,0.06519
43,14,,,0.03904
44,14,,,0.02925
45,14,,,0.02606
46,14,,,0.02735
47,14,,,0.02892
48,14,,,0.03403
49,14,,,0.04121
50,14,,,0.07162
51,14,,,0.09181
52,14,,,0.11672
53,14,,,0.13074
54,14,,,0.12822
55,14,,,0.11856
56,14,,,0.09873
57,14,,,0.0658
58,14,,,0.03632
59,14,,,0.01651
60,14,,,0.00692
61,14,,,0.00284
62,14,,,0.00106
63,14,,,3.27E-04
64,14,,,8.73E-05
65,14,,,2.09E-05
66,14,,,5.07E-06
67,14,,,1.19E-06
68,14,,,2.35E-07
69,14,,,1.63E-08
70,14,,,2.13E-10
